iter	MAE
0	16.69933233
1	16.42618613
2	16.22063063
3	15.95192533
4	15.71213543
5	15.50565932
6	15.29785224
7	15.07875494
8	14.88338674
9	14.65138019
10	14.4526389
11	14.26348848
12	14.0504229
13	13.90522928
14	13.75168789
15	13.63211985
16	13.46406821
17	13.30970473
18	13.16051948
19	13.04325934
20	12.91974671
21	12.81289464
22	12.6940452
23	12.57105119
24	12.4702495
25	12.3607512
26	12.24672831
27	12.15855042
28	12.06298003
29	11.96671976
30	11.86756248
31	11.77193323
32	11.68180372
33	11.57113237
34	11.47846083
35	11.38411085
36	11.3090088
37	11.21762772
38	11.15318228
39	11.0848659
40	11.00396556
41	10.94041099
42	10.86455452
43	10.80230288
44	10.73958611
45	10.697022
46	10.65742251
47	10.59164496
48	10.56025389
49	10.53008401
50	10.47664821
51	10.42894048
52	10.37984768
53	10.31891549
54	10.28050535
55	10.21848793
56	10.17919069
57	10.15508159
58	10.09082199
59	10.05821428
60	10.02032779
61	9.966726908
62	9.94749858
63	9.899985739
64	9.860881204
65	9.811820367
66	9.761510685
67	9.744455973
68	9.683065554
69	9.641011463
70	9.61313761
71	9.561430599
72	9.516667441
73	9.482253123
74	9.48151302
75	9.461504069
76	9.412749676
77	9.401651795
78	9.372917191
79	9.335530556
80	9.317556328
81	9.288842854
82	9.253097893
83	9.224852434
84	9.220254091
85	9.20610559
86	9.187010044
87	9.184883492
88	9.169939959
89	9.131604627
90	9.11542121
91	9.114591523
92	9.094365256
93	9.047442133
94	8.996640468
95	8.975313085
96	8.954031642
97	8.918432839
98	8.893958709
99	8.871688888
100	8.8191475
101	8.785644979
102	8.758434191
103	8.746207561
104	8.712888767
105	8.701556102
106	8.688135929
107	8.641837302
108	8.630934556
109	8.615010553
110	8.570976693
111	8.559784107
112	8.527149439
113	8.504104293
114	8.476914533
115	8.456236942
116	8.432262134
117	8.402818129
118	8.389657317
119	8.362767916
120	8.321099678
121	8.308200904
122	8.293793578
123	8.287584257
124	8.284497735
125	8.276048824
126	8.231229749
127	8.215261818
128	8.215233526
129	8.197370886
130	8.179555005
131	8.169028215
132	8.131009693
133	8.108560187
134	8.107806966
135	8.091662421
136	8.083479084
137	8.042975861
138	8.023107644
139	7.973806289
140	7.967329652
141	7.924895033
142	7.909953275
143	7.882772776
144	7.852921313
145	7.836861342
146	7.823746815
147	7.804822551
148	7.797239083
149	7.796985085
150	7.796869979
151	7.786989531
152	7.775716715
153	7.77549031
154	7.76955093
155	7.745401014
156	7.727613093
157	7.7224266
158	7.714003841
159	7.703733505
160	7.691598927
161	7.659279521
162	7.652659525
163	7.644093902
164	7.630129791
165	7.60435765
166	7.594678957
167	7.586824168
168	7.575064817
169	7.563452758
170	7.549087471
171	7.537715674
172	7.528652429
173	7.517229073
174	7.503715992
175	7.491612779
176	7.486167616
177	7.480760789
178	7.460453031
179	7.440801252
180	7.42645158
181	7.407472405
182	7.401264581
183	7.36870485
184	7.361471334
185	7.350082766
186	7.350077727
187	7.341153177
188	7.334198615
189	7.320729188
190	7.301477734
191	7.293102849
192	7.284511918
193	7.282696985
194	7.270708238
