iter	Passed	Remaining
0	36	36835
1	81	40799
2	125	41541
3	168	42044
4	211	42154
5	255	42284
6	286	40582
7	309	38398
8	332	36630
9	373	36978
10	416	37418
11	460	37894
12	504	38284
13	515	36291
14	542	35640
15	552	33961
16	595	34409
17	638	34829
18	681	35170
19	701	34349
20	730	34073
21	758	33699
22	799	33974
23	843	34291
24	887	34605
25	931	34884
26	979	35285
27	1011	35128
28	1052	35254
29	1094	35382
30	1137	35571
31	1181	35741
32	1225	35908
33	1270	36089
34	1313	36223
35	1357	36352
36	1400	36456
37	1446	36626
38	1480	36473
39	1523	36557
40	1565	36622
41	1612	36775
42	1657	36890
43	1702	36997
44	1746	37070
45	1771	36737
46	1785	36209
47	1828	36273
48	1840	35713
49	1848	35129
50	1890	35177
51	1934	35261
52	1976	35315
53	2020	35391
54	2062	35440
55	2098	35371
56	2140	35418
57	2151	34950
58	2193	34981
59	2236	35037
60	2281	35116
61	2324	35170
62	2345	34883
63	2385	34883
64	2427	34915
65	2471	34978
66	2515	35025
67	2535	34758
68	2577	34776
69	2621	34826
70	2665	34871
71	2708	34909
72	2752	34958
73	2796	34999
74	2803	34578
75	2843	34576
76	2886	34602
77	2897	34251
78	2943	34312
79	2988	34368
80	3032	34404
81	3075	34432
82	3120	34478
83	3165	34522
84	3176	34196
85	3216	34185
86	3262	34232
87	3278	33975
88	3306	33841
89	3349	33869
90	3380	33765
91	3393	33496
92	3436	33512
93	3482	33561
94	3525	33581
95	3568	33605
96	3614	33644
97	3659	33679
98	3708	33747
99	3750	33755
100	3794	33777
101	3838	33794
102	3882	33810
103	3930	33858
104	3973	33868
105	4009	33818
106	4052	33819
107	4096	33835
108	4140	33842
109	4185	33866
110	4230	33879
111	4273	33884
112	4318	33902
113	4365	33930
114	4414	33974
115	4460	33989
116	4505	34003
117	4549	34007
118	4596	34026
119	4640	34033
120	4685	34037
121	4730	34046
122	4775	34052
123	4800	33914
124	4823	33767
125	4866	33759
126	4910	33756
127	4956	33763
128	4967	33537
129	5008	33515
130	5053	33520
131	5083	33428
132	5125	33412
133	5169	33409
134	5180	33194
135	5223	33181
136	5266	33173
137	5308	33159
138	5353	33162
139	5397	33157
140	5441	33153
141	5484	33141
142	5530	33141
143	5575	33141
144	5620	33140
145	5664	33134
146	5710	33136
147	5756	33136
148	5799	33122
149	5811	32930
150	5820	32726
151	5863	32711
152	5907	32704
153	5918	32513
154	5941	32389
155	5982	32367
156	6026	32360
157	6071	32355
158	6115	32345
159	6159	32336
160	6203	32329
161	6248	32322
162	6292	32313
163	6338	32309
164	6382	32297
165	6427	32290
166	6472	32282
167	6516	32270
168	6560	32259
169	6607	32260
170	6651	32246
171	6696	32236
172	6741	32228
173	6785	32212
174	6828	32192
175	6873	32179
176	6917	32163
177	6961	32147
178	7004	32127
179	7047	32106
180	7092	32093
181	7136	32076
182	7180	32055
183	7224	32039
184	7267	32016
185	7311	31997
186	7322	31834
187	7365	31812
188	7409	31795
189	7454	31778
190	7497	31757
191	7541	31737
192	7586	31721
193	7630	31702
194	7673	31676
195	7717	31655
196	7761	31638
197	7805	31614
198	7848	31590
199	7893	31572
200	7919	31481
201	7966	31469
202	8009	31446
203	8052	31420
204	8096	31397
205	8140	31376
206	8186	31362
207	8230	31338
208	8274	31316
209	8320	31299
210	8364	31276
211	8407	31250
212	8451	31226
213	8494	31199
214	8538	31176
215	8584	31157
216	8629	31136
217	8674	31117
218	8721	31104
219	8767	31083
220	8810	31057
221	8853	31028
222	8900	31012
223	8945	30990
224	8990	30967
225	9032	30935
226	9077	30910
227	9121	30884
228	9164	30856
229	9208	30827
230	9254	30807
231	9296	30776
232	9340	30747
233	9384	30718
234	9432	30704
235	9476	30677
236	9519	30647
237	9566	30630
238	9612	30605
239	9656	30579
240	9703	30560
241	9747	30530
242	9791	30503
243	9835	30473
244	9879	30446
245	9923	30415
246	9966	30382
247	10009	30350
248	10052	30319
249	10097	30293
250	10140	30261
251	10184	30228
252	10228	30200
253	10273	30172
254	10317	30141
255	10360	30109
256	10404	30079
257	10447	30045
258	10490	30013
259	10534	29981
260	10580	29956
261	10623	29924
262	10667	29894
263	10711	29862
264	10755	29830
265	10798	29797
266	10841	29763
267	10885	29732
268	10929	29700
269	10971	29664
270	11016	29635
271	11060	29602
272	11107	29579
273	11152	29548
274	11195	29515
275	11239	29483
276	11284	29453
277	11330	29427
278	11374	29395
279	11419	29364
280	11465	29336
281	11509	29304
282	11556	29279
283	11600	29247
284	11646	29217
285	11690	29185
286	11733	29148
287	11777	29115
288	11821	29083
289	11865	29050
290	11909	29017
291	11953	28983
292	11997	28949
293	12041	28916
294	12087	28886
295	12131	28852
296	12177	28824
297	12221	28790
298	12266	28757
299	12310	28723
300	12354	28690
301	12398	28655
302	12442	28620
303	12486	28586
304	12530	28553
305	12574	28519
306	12619	28486
307	12665	28456
308	12708	28418
309	12751	28382
310	12795	28348
311	12838	28310
312	12881	28273
313	12927	28243
314	12972	28210
315	13016	28175
316	13070	28161
317	13118	28134
318	13167	28109
319	13215	28083
320	13265	28059
321	13310	28026
322	13356	27994
323	13404	27968
324	13471	27978
325	13524	27960
326	13571	27930
327	13617	27899
328	13666	27872
329	13720	27857
330	13767	27826
331	13819	27805
332	13868	27778
333	13943	27803
334	13989	27770
335	14036	27739
336	14084	27709
337	14134	27684
338	14181	27651
339	14223	27610
340	14272	27582
341	14317	27545
342	14370	27525
343	14415	27490
344	14460	27453
345	14505	27417
346	14548	27378
347	14593	27342
348	14641	27310
349	14688	27278
350	14733	27242
351	14778	27205
352	14821	27164
353	14865	27126
354	14909	27089
355	14958	27060
356	15005	27026
357	15050	26990
358	15097	26957
359	15141	26918
360	15187	26882
361	15230	26843
362	15274	26803
363	15320	26768
364	15370	26739
365	15416	26704
366	15464	26672
367	15509	26636
368	15557	26603
369	15606	26573
370	15654	26541
371	15702	26508
372	15749	26474
373	15796	26440
374	15840	26401
375	15885	26363
376	15932	26329
377	15977	26290
378	16021	26251
379	16065	26212
380	16110	26173
381	16154	26135
382	16198	26094
383	16244	26058
384	16288	26019
385	16332	25979
386	16377	25942
387	16422	25903
388	16467	25865
389	16511	25826
390	16557	25789
391	16601	25749
392	16646	25710
393	16691	25672
394	16735	25633
395	16779	25592
396	16823	25553
397	16866	25512
398	16910	25471
399	16953	25430
400	16997	25390
401	17042	25351
402	17087	25313
403	17134	25277
404	17181	25241
405	17228	25206
406	17276	25172
407	17323	25135
408	17371	25101
409	17419	25067
410	17467	25032
411	17514	24997
412	17561	24960
413	17610	24927
414	17658	24891
415	17704	24853
416	17750	24817
417	17798	24780
418	17845	24745
419	17892	24708
420	17941	24675
421	17989	24639
422	18035	24602
423	18083	24566
424	18131	24530
425	18177	24493
426	18224	24456
427	18278	24428
428	18331	24399
429	18380	24364
430	18432	24334
431	18489	24310
432	18540	24278
433	18593	24248
434	18641	24212
435	18691	24178
436	18741	24145
437	18790	24109
438	18839	24074
439	18893	24046
440	18943	24012
441	18993	23977
442	19041	23942
443	19090	23906
444	19139	23870
445	19185	23831
446	19231	23791
447	19278	23754
448	19326	23716
449	19373	23679
450	19419	23639
451	19466	23600
452	19514	23563
453	19560	23524
454	19605	23484
455	19663	23457
456	19709	23418
457	19755	23379
458	19804	23342
459	19850	23303
460	19898	23265
461	19948	23230
462	19993	23189
463	20041	23151
464	20088	23112
465	20132	23069
466	20176	23027
467	20220	22985
468	20264	22943
469	20309	22901
470	20354	22861
471	20398	22819
472	20443	22776
473	20487	22734
474	20533	22694
475	20578	22653
476	20625	22614
477	20668	22570
478	20713	22529
479	20758	22488
480	20802	22446
481	20846	22403
482	20891	22361
483	20936	22320
484	20982	22280
485	21027	22238
486	21072	22196
487	21117	22156
488	21162	22114
489	21206	22072
490	21250	22029
491	21295	21988
492	21340	21946
493	21382	21902
494	21430	21862
495	21474	21821
496	21521	21781
497	21566	21739
498	21610	21697
499	21655	21655
500	21700	21613
501	21744	21571
502	21788	21528
503	21833	21486
504	21877	21444
505	21922	21402
506	21967	21360
507	22012	21318
508	22056	21276
509	22102	21235
510	22148	21194
511	22192	21151
512	22235	21108
513	22282	21069
514	22326	21026
515	22372	20984
516	22417	20943
517	22460	20899
518	22504	20856
519	22549	20815
520	22594	20772
521	22641	20732
522	22687	20692
523	22751	20667
524	22796	20625
525	22840	20582
526	22886	20540
527	22933	20500
528	22977	20458
529	23022	20416
530	23067	20374
531	23110	20330
532	23153	20286
533	23197	20243
534	23244	20202
535	23289	20160
536	23333	20117
537	23376	20074
538	23421	20031
539	23467	19990
540	23511	19948
541	23553	19903
542	23597	19859
543	23646	19820
544	23691	19779
545	23748	19746
546	23799	19709
547	23847	19669
548	23893	19628
549	23939	19586
550	23986	19545
551	24031	19503
552	24076	19461
553	24120	19418
554	24169	19379
555	24214	19336
556	24260	19295
557	24305	19253
558	24351	19211
559	24398	19170
560	24441	19126
561	24487	19084
562	24531	19041
563	24577	18999
564	24622	18957
565	24668	18915
566	24712	18872
567	24758	18830
568	24803	18787
569	24850	18746
570	24894	18703
571	24939	18660
572	24985	18618
573	25028	18575
574	25075	18534
575	25120	18491
576	25165	18448
577	25210	18406
578	25254	18362
579	25298	18319
580	25342	18276
581	25388	18234
582	25434	18192
583	25479	18150
584	25539	18118
585	25583	18074
586	25627	18031
587	25671	17987
588	25715	17944
589	25760	17901
590	25804	17858
591	25848	17814
592	25894	17772
593	25940	17730
594	25983	17686
595	26029	17644
596	26078	17604
597	26124	17561
598	26169	17519
599	26221	17480
600	26266	17438
601	26312	17395
602	26356	17352
603	26402	17310
604	26447	17267
605	26492	17224
606	26536	17181
607	26582	17138
608	26626	17095
609	26673	17053
610	26716	17009
611	26761	16966
612	26807	16923
613	26852	16881
614	26899	16839
615	26946	16797
616	26992	16755
617	27037	16712
618	27080	16668
619	27126	16625
620	27170	16582
621	27215	16539
622	27259	16495
623	27304	16452
624	27349	16409
625	27395	16367
626	27441	16324
627	27489	16283
628	27535	16240
629	27580	16198
630	27625	16155
631	27670	16111
632	27716	16069
633	27762	16027
634	27807	15983
635	27852	15940
636	27896	15896
637	27943	15854
638	27988	15811
639	28033	15768
640	28078	15725
641	28123	15682
642	28168	15639
643	28213	15596
644	28257	15552
645	28302	15509
646	28346	15465
647	28390	15421
648	28435	15378
649	28481	15336
650	28526	15292
651	28571	15249
652	28616	15206
653	28662	15164
654	28708	15121
655	28753	15078
656	28798	15035
657	28844	14991
658	28889	14948
659	28933	14905
660	28979	14862
661	29023	14818
662	29068	14775
663	29113	14732
664	29157	14688
665	29202	14645
666	29246	14601
667	29292	14558
668	29337	14515
669	29382	14471
670	29426	14428
671	29474	14386
672	29516	14341
673	29562	14298
674	29607	14255
675	29652	14212
676	29697	14168
677	29742	14125
678	29786	14081
679	29831	14038
680	29875	13994
681	29918	13950
682	29962	13906
683	30008	13863
684	30054	13820
685	30099	13777
686	30145	13734
687	30189	13690
688	30234	13647
689	30280	13604
690	30323	13560
691	30368	13516
692	30414	13473
693	30458	13429
694	30502	13386
695	30546	13341
696	30591	13298
697	30636	13255
698	30681	13212
699	30726	13168
700	30771	13125
701	30816	13081
702	30861	13038
703	30904	12994
704	30948	12950
705	30992	12906
706	31037	12862
707	31082	12819
708	31127	12775
709	31172	12732
710	31217	12688
711	31261	12645
712	31305	12601
713	31350	12557
714	31395	12514
715	31440	12470
716	31486	12427
717	31532	12384
718	31579	12341
719	31623	12298
720	31668	12254
721	31712	12210
722	31756	12166
723	31802	12123
724	31845	12079
725	31889	12035
726	31934	11991
727	31980	11948
728	32025	11905
729	32070	11861
730	32115	11818
731	32160	11774
732	32204	11730
733	32249	11687
734	32295	11644
735	32348	11603
736	32394	11559
737	32444	11518
738	32521	11485
739	32601	11454
740	32647	11411
741	32691	11367
742	32735	11323
743	32779	11278
744	32823	11235
745	32869	11191
746	32914	11147
747	32960	11104
748	33005	11060
749	33048	11016
750	33093	10972
751	33139	10928
752	33183	10884
753	33229	10841
754	33274	10797
755	33318	10753
756	33364	10709
757	33409	10666
758	33456	10623
759	33501	10579
760	33547	10535
761	33597	10493
762	33642	10449
763	33688	10406
764	33733	10362
765	33780	10319
766	33825	10275
767	33869	10231
768	33915	10187
769	33959	10143
770	34003	10099
771	34050	10056
772	34095	10012
773	34141	9969
774	34187	9925
775	34231	9881
776	34276	9837
777	34320	9793
778	34366	9749
779	34409	9705
780	34454	9661
781	34499	9617
782	34545	9573
783	34590	9529
784	34635	9486
785	34679	9441
786	34721	9397
787	34769	9354
788	34814	9310
789	34860	9266
790	34906	9223
791	34950	9178
792	34995	9134
793	35053	9094
794	35096	9050
795	35140	9005
796	35185	8961
797	35229	8917
798	35275	8874
799	35320	8830
800	35364	8786
801	35411	8742
802	35455	8698
803	35500	8654
804	35545	8610
805	35590	8566
806	35635	8522
807	35682	8479
808	35728	8435
809	35773	8391
810	35818	8347
811	35863	8303
812	35907	8259
813	35951	8214
814	35994	8170
815	36038	8126
816	36084	8082
817	36128	8038
818	36174	7994
819	36218	7950
820	36263	7906
821	36307	7862
822	36352	7818
823	36399	7774
824	36443	7730
